timestamp,x_cm,y_cm,rotation_deg
2025-07-30T15:18:20.086972,66.21,126.33,4.16
2025-07-30T15:18:20.269711,66.66,126.15,4.67
2025-07-30T15:18:20.456078,68.04,125.60,4.58
2025-07-30T15:18:20.649299,71.20,124.63,4.10
2025-07-30T15:18:20.833190,72.48,123.91,4.26
2025-07-30T15:18:21.015171,74.59,123.10,4.47
2025-07-30T15:18:21.204296,79.16,120.35,6.11
2025-07-30T15:18:21.392212,81.92,119.04,6.81
2025-07-30T15:18:21.578875,87.58,116.36,7.70
2025-07-30T15:18:21.763202,88.84,115.98,6.88
2025-07-30T15:18:21.944737,90.30,115.47,7.13
2025-07-30T15:18:22.126345,94.09,113.88,7.11
2025-07-30T15:18:22.310414,95.45,113.34,7.63
2025-07-30T15:18:22.494140,97.50,112.26,8.26
2025-07-30T15:18:22.675682,102.30,110.81,8.25
2025-07-30T15:18:22.860425,106.48,109.90,8.23
2025-07-30T15:18:23.038986,119.36,110.72,6.35
2025-07-30T15:18:23.220010,123.96,110.71,7.22
2025-07-30T15:18:23.400235,125.36,110.61,8.14
2025-07-30T15:18:23.579795,122.70,109.26,11.38
2025-07-30T15:18:23.764387,121.72,107.50,13.33
2025-07-30T15:18:23.949840,121.66,104.14,18.08
2025-07-30T15:18:24.137159,123.73,94.72,30.95
2025-07-30T15:18:24.324838,124.16,92.78,33.78
2025-07-30T15:18:24.508269,126.91,88.58,39.52
2025-07-30T15:18:24.697756,136.71,76.47,55.16
2025-07-30T15:18:24.888929,138.30,76.23,56.19
2025-07-30T15:18:25.078346,138.83,75.94,56.78
2025-07-30T15:18:25.268769,138.50,75.58,57.29
2025-07-30T15:18:25.451229,136.08,75.80,57.51
2025-07-30T15:18:25.636828,134.71,75.52,57.71
2025-07-30T15:18:25.818800,129.17,75.58,59.16
2025-07-30T15:18:26.003359,115.79,68.04,58.13
2025-07-30T15:18:26.189634,112.63,63.47,57.02
2025-07-30T15:18:26.377455,110.38,60.71,57.01
2025-07-30T15:18:26.563970,104.08,57.86,58.02
2025-07-30T15:18:26.744514,101.29,56.52,57.88
2025-07-30T15:18:26.923936,100.57,55.25,57.89
2025-07-30T15:18:27.105615,96.47,53.80,58.00
2025-07-30T15:18:27.304645,94.01,53.63,56.37
2025-07-30T15:18:27.494112,96.19,53.42,57.95
2025-07-30T15:18:27.683357,97.05,53.36,57.59
2025-07-30T15:18:27.868956,99.36,52.94,59.02
2025-07-30T15:18:28.055414,99.91,52.57,58.39
2025-07-30T15:18:28.237471,99.58,52.73,57.95
