timestamp,x_cm,y_cm,rotation_deg
2025-07-13T12:15:11.022584,0.75,23.81,58.14
2025-07-13T12:15:11.157444,-0.74,52.11,5.92
2025-07-13T12:15:11.288076,3.46,53.85,15.71
2025-07-13T12:15:11.684536,24.27,54.97,-3.68
2025-07-13T12:15:11.947101,20.92,57.30,-1.61
2025-07-13T12:15:12.079516,23.63,58.29,-7.85
2025-07-13T12:15:12.207097,28.86,54.94,-4.96
2025-07-13T12:15:12.617407,29.33,60.07,-6.17
2025-07-13T12:15:12.874546,31.60,56.22,-0.11
2025-07-13T12:15:13.019115,16.44,61.44,-2.61
2025-07-13T12:15:13.145870,33.65,61.04,-12.26
2025-07-13T12:15:14.359860,34.49,56.71,-2.64
2025-07-13T12:15:16.094857,453.15,325.93,-143.23
2025-07-13T12:15:16.895622,21.68,51.64,-125.32
2025-07-13T12:15:17.838517,92.22,76.65,158.18
2025-07-13T12:15:18.642301,67.92,121.78,-111.73
2025-07-13T12:15:26.434614,27.63,84.83,0.47
