timestamp,x_cm,y_cm,rotation_deg
2025-07-13T11:53:35.685453,191.24,62.48,-136.58
2025-07-13T11:53:36.470787,101.18,34.70,-173.98
2025-07-13T11:53:37.115042,29.46,45.23,138.01
2025-07-13T11:53:37.262456,16.90,60.66,167.84
2025-07-13T11:53:37.394293,46.88,41.18,56.32
2025-07-13T11:53:37.789407,181.65,81.74,-8.96
2025-07-13T11:53:37.920187,184.70,81.61,-9.12
2025-07-13T11:53:38.052012,185.88,81.30,-7.61
2025-07-13T11:53:38.183708,186.06,81.14,-6.86
2025-07-13T11:53:38.316768,186.40,81.28,-6.79
2025-07-13T11:53:38.458832,187.13,81.30,-7.52
2025-07-13T11:53:38.588425,189.16,81.30,-8.40
2025-07-13T11:53:38.719219,190.23,81.40,-8.78
2025-07-13T11:53:38.858395,187.99,82.06,-9.21
2025-07-13T11:53:38.983062,182.60,82.73,-7.94
2025-07-13T11:53:39.394831,48.88,39.24,166.60
2025-07-13T11:53:39.541861,146.10,89.64,-38.47
2025-07-13T11:53:39.669017,149.02,83.28,-7.71
2025-07-13T11:53:39.806356,146.71,83.46,-6.50
2025-07-13T11:53:39.936428,147.00,83.72,-5.06
2025-07-13T11:53:40.068279,147.17,84.00,-4.58
2025-07-13T11:53:40.201598,146.45,84.25,-6.84
2025-07-13T11:53:40.331111,146.18,83.81,-4.33
2025-07-13T11:53:40.475282,145.26,84.55,-7.40
2025-07-13T11:53:40.600563,147.63,85.67,-13.19
2025-07-13T11:53:40.728296,149.21,85.76,-16.61
2025-07-13T11:53:40.876520,150.63,85.86,-18.72
2025-07-13T11:53:41.004281,152.46,85.47,-20.55
2025-07-13T11:53:41.134799,154.69,85.58,-28.50
2025-07-13T11:53:41.274879,156.50,85.17,-32.59
2025-07-13T11:53:41.402836,156.76,84.89,-35.90
2025-07-13T11:53:41.548359,157.90,84.34,-41.93
2025-07-13T11:53:41.679022,158.96,83.55,-47.50
2025-07-13T11:53:41.807677,154.50,84.76,-33.96
2025-07-13T11:53:41.947202,149.95,85.40,-20.19
2025-07-13T11:53:42.076988,149.67,85.18,-13.15
2025-07-13T11:53:42.215510,149.13,85.05,-11.90
2025-07-13T11:53:42.345646,149.29,84.84,-9.21
2025-07-13T11:53:42.477008,150.22,85.08,-10.46
2025-07-13T11:53:42.627436,151.85,84.78,-9.42
2025-07-13T11:53:42.778991,153.87,85.07,-10.88
2025-07-13T11:53:42.945950,155.93,85.27,-9.98
2025-07-13T11:53:43.118605,157.85,85.29,-9.92
2025-07-13T11:53:43.292464,159.65,85.80,-9.45
2025-07-13T11:53:43.472847,161.21,86.20,-11.34
2025-07-13T11:53:43.657223,163.61,85.74,-10.06
2025-07-13T11:53:43.843144,161.63,86.13,-11.69
2025-07-13T11:53:44.041263,157.98,85.87,-10.37
2025-07-13T11:53:44.231594,151.74,86.20,-11.09
2025-07-13T11:53:44.426181,149.28,85.80,-10.16
2025-07-13T11:53:44.623440,145.15,86.37,-11.42
2025-07-13T11:53:44.813683,142.70,85.82,-9.29
2025-07-13T11:53:45.009578,140.56,85.35,-6.99
2025-07-13T11:53:45.196410,136.84,86.40,-9.17
2025-07-13T11:53:45.394933,136.24,86.20,-8.11
2025-07-13T11:53:45.592077,134.40,86.43,-8.27
2025-07-13T11:53:45.782098,133.18,86.93,-9.01
2025-07-13T11:53:45.974816,130.25,87.54,-7.89
2025-07-13T11:53:46.174781,127.88,87.51,-5.79
2025-07-13T11:53:46.371301,122.54,86.40,-4.67
2025-07-13T11:53:46.571170,120.78,86.20,-6.87
2025-07-13T11:53:46.762770,117.94,86.41,-5.60
2025-07-13T11:53:46.949051,116.32,86.67,-5.49
2025-07-13T11:53:47.131164,115.03,86.92,-5.91
2025-07-13T11:53:47.316215,111.77,87.00,-6.79
2025-07-13T11:53:47.504758,109.85,87.19,-7.28
2025-07-13T11:53:47.694852,106.90,87.25,-8.39
2025-07-13T11:53:47.885179,106.44,87.04,-5.01
2025-07-13T11:53:48.075439,107.51,87.87,-6.14
2025-07-13T11:53:48.264698,111.38,88.50,-8.15
2025-07-13T11:53:48.459210,114.45,88.23,-7.40
2025-07-13T11:53:48.648001,120.28,88.06,-8.02
2025-07-13T11:53:48.833501,123.79,87.93,-7.19
2025-07-13T11:53:49.017773,127.60,87.45,-6.39
2025-07-13T11:53:49.207619,132.37,87.36,-5.68
2025-07-13T11:53:49.397903,132.13,86.98,-4.96
2025-07-13T11:53:49.587193,128.85,87.65,-5.73
2025-07-13T11:53:49.778236,127.06,87.98,-5.26
2025-07-13T11:53:49.963896,125.51,87.25,-5.89
2025-07-13T11:53:50.150105,123.91,81.07,-7.97
2025-07-13T11:53:50.340059,123.75,77.42,-7.40
2025-07-13T11:53:50.535556,124.11,78.56,-5.51
2025-07-13T11:53:50.729035,123.37,83.76,-10.46
2025-07-13T11:53:50.921113,122.15,87.10,-4.54
2025-07-13T11:53:51.108624,122.19,87.62,-4.47
2025-07-13T11:53:51.293386,124.14,87.88,-7.36
2025-07-13T11:53:51.475661,135.28,85.19,-10.80
2025-07-13T11:53:51.680750,137.85,83.85,-7.25
2025-07-13T11:53:51.882478,137.33,84.42,-11.20
2025-07-13T11:53:52.077945,138.61,84.89,-13.37
2025-07-13T11:53:52.284265,146.45,87.32,-34.73
2025-07-13T11:53:52.487726,150.24,86.60,-42.89
2025-07-13T11:53:52.683271,157.33,83.60,-58.83
2025-07-13T11:53:52.877589,160.17,81.85,-65.28
2025-07-13T11:53:53.062705,160.63,80.94,-67.12
2025-07-13T11:53:53.246141,149.79,87.52,-33.73
2025-07-13T11:53:53.431200,144.10,87.65,-20.60
2025-07-13T11:53:53.622463,136.53,84.98,3.16
2025-07-13T11:53:53.830121,135.87,83.99,6.00
2025-07-13T11:53:54.011553,137.74,84.30,7.05
2025-07-13T11:53:54.194633,138.11,84.78,6.19
2025-07-13T11:53:54.375675,138.79,84.52,5.64
2025-07-13T11:53:54.566962,140.67,85.73,4.65
2025-07-13T11:53:54.754078,141.37,85.39,7.58
2025-07-13T11:53:54.936487,140.92,85.75,5.16
2025-07-13T11:53:55.117511,143.46,86.29,3.10
2025-07-13T11:53:55.299025,146.92,89.00,-0.98
2025-07-13T11:53:55.490442,148.99,93.00,0.30
2025-07-13T11:53:55.676672,148.04,94.64,-1.83
2025-07-13T11:53:55.859783,148.32,95.81,0.06
2025-07-13T11:53:56.042874,147.76,98.80,-2.68
2025-07-13T11:53:56.224228,146.19,99.63,-2.09
2025-07-13T11:53:56.415572,143.86,100.17,-1.83
2025-07-13T11:53:56.628771,142.94,100.81,-3.77
2025-07-13T11:53:56.841780,141.55,101.12,-2.23
2025-07-13T11:53:57.040500,140.69,100.85,-1.79
2025-07-13T11:53:57.229462,140.72,101.14,-1.53
2025-07-13T11:53:57.428523,141.80,101.14,0.31
2025-07-13T11:53:57.633628,141.01,101.78,-2.16
2025-07-13T11:53:57.806541,-1088.16,271.87,-10.32
