timestamp,x_cm,y_cm,rotation_deg
2025-07-13T12:08:48.418759,122.96,51.81,-99.53
2025-07-13T12:08:50.107735,140.21,75.50,-117.27
2025-07-13T12:08:50.503124,134.36,69.23,2.17
2025-07-13T12:08:50.903109,13.12,86.62,-63.85
2025-07-13T12:08:54.266082,72.72,99.45,163.14
2025-07-13T12:08:55.062568,167.41,114.04,-45.03
2025-07-13T12:08:56.281368,96.46,41.44,41.17
2025-07-13T12:08:56.678851,153.02,70.07,-8.44
2025-07-13T12:08:56.805895,158.36,71.04,-14.21
2025-07-13T12:08:56.956170,160.41,72.18,-16.70
2025-07-13T12:08:57.079683,165.80,73.08,-92.28
2025-07-13T12:08:57.221810,162.05,71.87,-23.21
2025-07-13T12:08:57.619962,166.90,71.57,-20.77
2025-07-13T12:08:57.750419,168.51,71.74,-19.67
2025-07-13T12:08:57.900313,171.90,67.85,33.21
2025-07-13T12:08:58.149247,175.25,71.17,-6.28
2025-07-13T12:08:58.296052,174.62,71.14,-3.36
2025-07-13T12:08:58.421850,175.10,71.36,-2.41
2025-07-13T12:08:58.562665,175.61,71.63,-3.11
2025-07-13T12:08:58.695086,177.50,71.67,-7.57
2025-07-13T12:08:58.821584,178.94,72.34,-6.35
2025-07-13T12:08:58.970102,178.62,72.76,-10.14
2025-07-13T12:08:59.095841,178.91,72.42,-5.93
2025-07-13T12:08:59.239196,179.86,73.07,-9.32
2025-07-13T12:08:59.368493,181.71,73.79,-6.50
2025-07-13T12:08:59.492009,186.15,74.40,-3.52
2025-07-13T12:08:59.638586,188.23,75.90,-2.17
2025-07-13T12:08:59.769118,189.38,76.81,-6.22
2025-07-13T12:08:59.911890,190.90,76.98,-6.76
2025-07-13T12:09:00.040781,191.50,76.34,-7.74
2025-07-13T12:09:00.166620,191.05,75.92,-6.22
2025-07-13T12:09:00.315385,190.41,75.89,-7.34
2025-07-13T12:09:00.448447,189.63,75.85,-8.14
2025-07-13T12:09:00.578284,188.44,75.66,-8.63
2025-07-13T12:09:00.712039,187.15,75.31,-7.06
2025-07-13T12:09:00.846365,185.36,75.14,-5.89
2025-07-13T12:09:00.984710,183.22,74.65,-5.44
2025-07-13T12:09:01.114221,181.57,74.37,-4.07
2025-07-13T12:09:01.245108,179.53,74.77,-6.38
2025-07-13T12:09:01.383660,177.56,74.44,-7.14
2025-07-13T12:09:01.512606,175.58,72.59,0.70
2025-07-13T12:09:01.650771,172.07,73.55,-1.55
2025-07-13T12:09:01.789068,169.70,73.77,-5.15
2025-07-13T12:09:01.914484,167.85,73.23,-2.24
2025-07-13T12:09:02.059259,166.13,72.71,-3.94
2025-07-13T12:09:02.184186,164.81,72.09,1.16
2025-07-13T12:09:02.334926,162.63,72.50,-8.29
