timestamp,x_cm,y_cm,rotation_deg
2025-07-13T12:18:16.510272,30.31,17.85,19.52
2025-07-13T12:18:16.647241,139.75,-145.31,134.30
2025-07-13T12:18:17.855425,-4.83,38.27,23.15
2025-07-13T12:18:17.990298,-0.13,52.96,-5.36
2025-07-13T12:18:18.132213,11.62,53.15,-2.94
2025-07-13T12:18:18.272256,11.64,59.39,6.17
2025-07-13T12:18:18.413992,12.50,58.11,-1.71
2025-07-13T12:18:18.558422,-39.57,125.72,-19.87
2025-07-13T12:18:18.704490,25.24,52.22,7.69
2025-07-13T12:18:18.847574,26.28,51.04,-1.19
2025-07-13T12:18:18.990869,28.67,46.89,11.45
2025-07-13T12:18:19.135506,24.87,57.14,-0.73
2025-07-13T12:18:19.287983,34.35,50.50,3.24
2025-07-13T12:18:19.429127,27.59,62.59,8.33
2025-07-13T12:18:19.575096,33.69,60.30,0.17
2025-07-13T12:18:19.718304,33.45,54.47,5.26
2025-07-13T12:18:19.860975,31.93,58.40,23.66
2025-07-13T12:18:20.000138,28.48,69.74,25.37
2025-07-13T12:18:20.143795,39.41,54.36,-4.97
2025-07-13T12:18:20.290138,44.18,52.06,-6.41
2025-07-13T12:18:20.435815,40.39,52.82,5.59
2025-07-13T12:18:20.581515,42.52,54.04,5.53
2025-07-13T12:18:20.721230,39.59,56.60,-6.98
2025-07-13T12:18:20.861589,47.33,48.59,26.34
2025-07-13T12:18:21.004140,42.95,54.05,4.64
2025-07-13T12:18:21.144892,79.86,-5.18,-133.93
2025-07-13T12:18:21.287099,45.53,52.28,-0.60
2025-07-13T12:18:21.431975,44.91,53.92,-7.80
2025-07-13T12:18:21.570821,40.87,62.71,-26.71
2025-07-13T12:18:21.714869,49.68,48.72,0.27
2025-07-13T12:18:21.863303,53.89,44.44,-3.60
2025-07-13T12:18:22.005680,47.58,52.43,9.68
2025-07-13T12:18:22.147098,32.48,79.36,-1.28
2025-07-13T12:18:22.283969,46.97,55.89,-3.67
2025-07-13T12:18:22.426853,46.57,55.29,-4.20
2025-07-13T12:18:22.569151,48.32,59.75,11.06
2025-07-13T12:18:22.723583,41.13,76.42,81.38
2025-07-13T12:18:22.864146,42.76,108.42,13.32
2025-07-13T12:18:23.003532,76.83,102.19,-3.21
2025-07-13T12:18:23.276559,80.58,60.01,11.39
2025-07-13T12:18:23.549448,71.31,75.50,-16.84
2025-07-13T12:18:23.694837,76.58,50.63,-3.46
2025-07-13T12:18:23.835840,75.38,57.66,-8.13
2025-07-13T12:18:23.977480,78.20,62.70,-4.83
2025-07-13T12:18:24.117601,77.77,71.80,-6.73
2025-07-13T12:18:24.265427,79.83,68.54,-3.90
2025-07-13T12:18:24.547148,37.95,149.57,12.75
2025-07-13T12:18:24.689912,83.45,76.69,-0.96
2025-07-13T12:18:24.831353,85.59,75.59,0.85
2025-07-13T12:18:24.971985,73.74,119.13,30.01
2025-07-13T12:18:25.116505,39.20,169.07,-30.47
2025-07-13T12:18:25.254017,87.16,75.83,-4.94
2025-07-13T12:18:25.524080,83.90,88.37,-2.47
2025-07-13T12:18:25.661594,90.15,82.08,-21.39
2025-07-13T12:18:25.801814,107.71,64.78,-9.82
2025-07-13T12:18:25.946698,105.45,72.86,-14.83
2025-07-13T12:18:26.087610,-7.24,397.67,-60.14
2025-07-13T12:18:26.232346,138.71,48.59,149.91
2025-07-13T12:18:26.374104,121.18,65.74,-5.15
2025-07-13T12:18:26.655127,132.24,70.25,17.22
2025-07-13T12:18:26.802859,133.06,79.21,-21.24
2025-07-13T12:18:27.218679,145.60,68.61,-29.46
2025-07-13T12:18:27.503305,131.10,71.37,-25.73
2025-07-13T12:18:27.642670,123.50,71.51,-4.70
2025-07-13T12:18:27.921745,103.85,76.44,-16.42
2025-07-13T12:18:28.062091,116.95,14.37,-170.12
2025-07-13T12:18:28.206807,89.39,85.08,-21.09
2025-07-13T12:18:28.344522,83.93,83.47,-10.79
2025-07-13T12:18:28.482034,78.14,79.50,-9.68
2025-07-13T12:18:28.621481,60.88,127.26,-30.88
2025-07-13T12:18:28.753322,46.12,133.56,-33.79
2025-07-13T12:18:28.888845,58.19,87.69,-22.97
2025-07-13T12:18:29.030093,50.56,101.81,-33.97
2025-07-13T12:18:29.176269,47.72,89.26,-27.09
2025-07-13T12:18:29.315461,42.27,110.21,-39.96
2025-07-13T12:18:29.602607,35.56,103.95,-40.23
2025-07-13T12:18:30.175578,-213.28,101.89,-12.11
2025-07-13T12:18:30.457629,95.23,436.11,-64.16
2025-07-13T12:18:30.738735,40.78,95.53,-52.85
2025-07-13T12:18:30.880156,46.10,107.29,-17.95
2025-07-13T12:18:31.022638,52.35,86.06,-11.94
2025-07-13T12:18:31.161406,61.15,84.79,-17.14
2025-07-13T12:18:31.298543,65.39,80.07,-15.27
2025-07-13T12:18:31.448161,69.03,79.66,-6.41
2025-07-13T12:18:31.591533,71.86,81.29,-15.99
2025-07-13T12:18:31.735099,76.66,78.31,-23.80
2025-07-13T12:18:31.876829,75.94,82.41,-19.32
2025-07-13T12:18:32.020791,78.60,74.44,-16.71
2025-07-13T12:18:32.159702,82.91,74.19,-11.49
