timestamp,x_cm,y_cm,rotation_deg
2025-07-13T19:00:24.634118,178.82,105.92,1.42
2025-07-13T19:00:25.055995,191.26,108.88,-91.04
2025-07-13T19:00:25.412191,176.85,63.71,-126.25
2025-07-13T19:00:25.990300,98.46,126.11,-160.43
2025-07-13T19:00:27.199156,207.80,128.49,6.31
2025-07-13T19:00:27.444205,203.50,127.55,3.85
2025-07-13T19:00:27.699297,204.21,122.05,4.68
2025-07-13T19:00:27.984899,204.29,120.34,4.61
2025-07-13T19:00:28.274726,203.09,119.32,3.95
2025-07-13T19:00:28.556951,196.08,119.00,3.02
2025-07-13T19:00:28.873236,184.04,122.44,0.11
2025-07-13T19:00:29.148155,167.96,123.13,1.11
2025-07-13T19:00:29.355731,146.33,122.43,0.57
2025-07-13T19:00:29.577051,129.87,120.84,2.38
2025-07-13T19:00:29.807002,120.72,120.57,-0.19
2025-07-13T19:00:30.035087,107.34,119.76,4.18
2025-07-13T19:00:30.488800,225.02,54.58,136.32
2025-07-13T19:00:30.731726,134.86,68.95,167.12
2025-07-13T19:00:30.958751,50.50,112.74,-4.96
2025-07-13T19:00:31.187608,46.66,111.72,-3.11
2025-07-13T19:00:31.413117,46.12,111.53,-3.12
2025-07-13T19:00:31.643963,47.34,109.55,-3.15
2025-07-13T19:00:31.872874,47.95,108.50,-1.87
2025-07-13T19:00:32.115271,48.67,106.37,-1.60
2025-07-13T19:00:32.347067,48.99,105.45,-1.60
2025-07-13T19:00:32.583159,48.88,104.13,-0.25
2025-07-13T19:00:32.810535,49.27,104.26,-0.89
2025-07-13T19:00:33.271512,95.23,108.29,2.45
2025-07-13T19:00:33.518001,94.76,107.86,3.14
2025-07-13T19:00:33.757603,93.43,107.27,2.97
2025-07-13T19:00:33.990662,92.97,106.30,2.56
2025-07-13T19:00:34.230803,93.15,105.85,2.13
2025-07-13T19:00:34.466468,112.32,67.77,10.84
2025-07-13T19:00:34.933061,124.14,103.16,3.19
2025-07-13T19:00:35.174841,124.53,103.28,3.03
2025-07-13T19:00:35.420530,124.18,102.81,3.23
2025-07-13T19:00:35.668812,124.19,102.71,3.42
2025-07-13T19:00:35.907352,123.06,102.46,3.48
2025-07-13T19:00:36.146552,116.95,102.02,3.20
2025-07-13T19:00:36.377130,108.62,101.41,3.52
2025-07-13T19:00:36.606230,97.73,103.77,-0.26
2025-07-13T19:00:36.834392,95.39,101.07,2.11
2025-07-13T19:00:37.062109,79.58,101.73,1.52
2025-07-13T19:00:37.288044,71.62,101.57,-0.98
2025-07-13T19:00:37.515669,70.67,100.11,0.66
