timestamp,x_cm,y_cm,rotation_deg
2025-07-12T16:18:44.392116,91.59,93.20,13.14
2025-07-12T16:18:44.795682,270.84,129.88,-179.67
2025-07-12T16:18:45.332896,224.35,67.93,75.73
2025-07-12T16:18:45.462082,231.56,108.67,34.65
2025-07-12T16:18:45.857492,224.37,59.15,-8.22
2025-07-12T16:18:45.986337,225.42,58.67,-17.68
2025-07-12T16:18:46.122014,226.10,46.90,96.34
2025-07-12T16:18:46.253280,118.97,81.60,165.46
2025-07-12T16:18:46.394021,231.81,120.21,-12.30
2025-07-12T16:18:46.522698,225.43,53.76,-52.17
2025-07-12T16:18:46.654738,228.50,53.16,168.04
2025-07-12T16:18:46.926860,237.73,55.09,178.41
2025-07-12T16:18:47.591449,225.44,57.88,62.78
2025-07-12T16:18:47.736329,197.52,107.35,1.39
2025-07-12T16:18:47.863894,192.35,104.52,8.51
2025-07-12T16:18:47.997081,184.14,105.43,-4.99
2025-07-12T16:18:48.137615,179.29,105.09,-6.46
2025-07-12T16:18:48.267740,178.03,105.76,-7.20
2025-07-12T16:18:48.412932,177.31,105.54,-6.48
2025-07-12T16:18:48.540975,176.81,104.85,-6.12
2025-07-12T16:18:48.673333,176.87,105.10,-6.70
2025-07-12T16:18:48.810607,174.67,104.44,-6.80
2025-07-12T16:18:48.937780,171.18,105.01,-7.92
2025-07-12T16:18:49.082366,166.36,104.76,-7.68
2025-07-12T16:18:49.211793,162.53,104.56,-8.70
2025-07-12T16:18:49.340486,159.94,103.65,-7.71
2025-07-12T16:18:49.480357,158.87,103.62,-8.75
2025-07-12T16:18:49.609314,158.29,103.42,-8.29
2025-07-12T16:18:49.736855,157.84,103.25,-7.99
2025-07-12T16:18:49.881693,157.50,102.48,-8.19
2025-07-12T16:18:50.004332,156.18,102.37,-9.04
2025-07-12T16:18:50.153534,155.58,101.81,-9.02
2025-07-12T16:18:50.280174,155.06,101.32,-8.60
2025-07-12T16:18:50.407929,154.06,100.88,-8.47
2025-07-12T16:18:50.555177,152.75,100.33,-8.79
2025-07-12T16:18:50.684677,152.54,100.28,-8.78
2025-07-12T16:18:50.825072,152.69,99.69,-8.89
2025-07-12T16:18:50.958365,152.74,98.68,-9.01
2025-07-12T16:18:51.087110,152.61,97.68,-8.49
2025-07-12T16:18:51.220731,151.97,96.60,-8.57
2025-07-12T16:18:51.356120,151.01,95.66,-8.96
2025-07-12T16:18:51.505633,150.54,95.16,-8.77
2025-07-12T16:18:51.639215,150.03,94.12,-7.67
2025-07-12T16:18:51.772563,148.17,93.96,-8.97
2025-07-12T16:18:51.908793,147.00,93.64,-9.17
2025-07-12T16:18:52.047711,146.63,93.41,-10.09
2025-07-12T16:18:52.180552,147.78,92.51,-9.36
2025-07-12T16:18:52.315964,151.30,92.94,-12.28
2025-07-12T16:18:52.447260,155.57,92.12,-9.84
2025-07-12T16:18:52.586143,157.94,92.87,-12.86
2025-07-12T16:18:52.716811,160.15,92.87,-13.55
2025-07-12T16:18:52.845560,162.36,93.00,-13.43
2025-07-12T16:18:52.977929,163.93,93.05,-11.81
2025-07-12T16:18:53.118200,162.57,94.50,-12.34
2025-07-12T16:18:53.254806,158.90,95.83,-11.02
2025-07-12T16:18:53.384326,156.10,96.53,-10.36
2025-07-12T16:18:53.516674,152.86,97.30,-11.21
2025-07-12T16:18:53.650544,149.78,97.90,-11.71
2025-07-12T16:18:53.785064,148.09,98.36,-10.62
2025-07-12T16:18:53.923764,147.89,99.03,-11.27
2025-07-12T16:18:54.060500,150.03,100.30,-17.21
2025-07-12T16:18:54.191240,151.95,100.84,-18.68
2025-07-12T16:18:54.328207,154.90,101.59,-23.35
2025-07-12T16:18:54.463011,156.99,102.01,-26.82
2025-07-12T16:18:54.595834,158.10,102.61,-27.57
2025-07-12T16:18:54.726627,159.08,103.08,-22.43
2025-07-12T16:18:54.857212,158.86,103.84,-15.73
2025-07-12T16:18:54.992529,158.93,105.01,-12.21
2025-07-12T16:18:55.130793,159.38,106.12,-9.31
2025-07-12T16:18:55.266145,159.38,108.20,-8.68
2025-07-12T16:18:55.402726,159.99,109.94,-8.75
2025-07-12T16:18:55.541236,162.45,110.37,-8.94
2025-07-12T16:18:55.681013,163.23,110.28,-9.19
2025-07-12T16:18:55.815610,164.14,109.08,-9.27
2025-07-12T16:18:55.948182,166.04,107.15,-9.54
2025-07-12T16:18:56.085777,167.77,105.93,-10.18
2025-07-12T16:18:56.223006,169.97,105.51,-10.60
2025-07-12T16:18:56.361077,172.57,105.64,-11.06
2025-07-12T16:18:56.498850,175.05,106.04,-12.01
2025-07-12T16:18:56.636852,177.34,105.71,-12.58
2025-07-12T16:18:56.767619,180.86,105.81,-13.74
2025-07-12T16:18:56.904078,185.13,106.60,-12.14
2025-07-12T16:18:57.041797,188.76,106.88,-10.81
2025-07-12T16:18:57.177085,192.24,107.71,-13.36
2025-07-12T16:18:57.308207,194.35,107.67,-12.41
2025-07-12T16:18:57.440961,195.02,109.28,-8.32
2025-07-12T16:18:57.575473,196.38,107.79,-4.72
2025-07-12T16:18:57.718286,198.67,107.42,-3.10
2025-07-12T16:18:57.854169,200.80,107.60,-1.45
2025-07-12T16:18:57.986553,202.37,108.12,-0.42
2025-07-12T16:18:58.121558,203.30,107.27,1.68
2025-07-12T16:18:58.258112,206.28,107.36,-1.42
2025-07-12T16:18:58.394848,213.03,106.26,-3.33
2025-07-12T16:18:58.526352,212.91,107.85,-2.77
2025-07-12T16:18:59.056897,172.22,111.81,-3.23
2025-07-12T16:18:59.193444,166.46,113.37,-3.85
2025-07-12T16:18:59.326154,163.38,114.81,-2.76
2025-07-12T16:18:59.459047,162.40,115.24,-2.35
2025-07-12T16:18:59.591510,161.05,114.27,-3.01
2025-07-12T16:18:59.727875,160.50,113.19,-4.03
2025-07-12T16:18:59.863521,161.71,111.78,-3.59
2025-07-12T16:18:59.997795,160.85,111.22,-2.93
2025-07-12T16:19:00.129631,157.69,111.76,-4.56
2025-07-12T16:19:00.267247,155.47,111.86,-3.83
2025-07-12T16:19:00.406425,152.63,112.11,-4.32
2025-07-12T16:19:00.542686,150.10,112.00,-4.95
2025-07-12T16:19:00.682970,148.08,113.09,-3.90
2025-07-12T16:19:00.822734,146.52,113.94,-4.99
2025-07-12T16:19:00.967975,146.57,110.52,-5.47
2025-07-12T16:19:01.110443,148.12,106.75,-6.58
2025-07-12T16:19:01.256704,148.50,105.02,-6.85
2025-07-12T16:19:01.404254,146.81,102.79,-6.65
2025-07-12T16:19:01.537517,145.62,100.94,-8.03
2025-07-12T16:19:01.692296,143.72,99.62,-7.22
2025-07-12T16:19:01.834202,138.74,99.49,-7.09
2025-07-12T16:19:01.970326,134.36,98.98,-6.81
2025-07-12T16:19:02.114157,131.24,99.53,-7.26
2025-07-12T16:19:02.250248,131.35,99.99,-7.48
2025-07-12T16:19:02.396453,131.36,100.23,-7.96
2025-07-12T16:19:02.537397,131.24,100.01,-7.19
2025-07-12T16:19:02.678481,131.36,100.11,-7.41
2025-07-12T16:19:02.811004,131.57,100.34,-7.47
2025-07-12T16:19:02.946758,131.21,100.43,-7.83
2025-07-12T16:19:03.083099,131.30,100.00,-6.95
2025-07-12T16:19:03.222719,131.87,99.44,-4.54
2025-07-12T16:19:03.361542,131.26,100.37,-6.30
2025-07-12T16:19:03.495821,131.06,100.49,-6.76
2025-07-12T16:19:03.635434,130.94,100.52,-6.65
2025-07-12T16:19:03.773643,131.05,101.40,-7.85
2025-07-12T16:19:03.905800,132.46,101.88,-10.54
2025-07-12T16:19:04.040442,134.39,100.32,-11.29
2025-07-12T16:19:04.177439,134.62,100.73,-9.15
2025-07-12T16:19:04.319625,159.40,73.04,136.87
2025-07-12T16:19:04.456047,134.81,104.96,-16.79
2025-07-12T16:19:04.593377,139.24,61.68,-141.84
2025-07-12T16:19:04.732881,137.30,61.44,-136.03
2025-07-12T16:19:04.875222,148.51,74.69,-168.06
2025-07-12T16:19:05.014589,128.62,66.55,-15.33
2025-07-12T16:19:05.157430,186.75,3.23,147.25
2025-07-12T16:19:05.299178,163.44,45.16,-169.54
