timestamp,x_cm,y_cm,rotation_deg
2025-07-13T12:11:50.994340,96.81,81.61,3.18
2025-07-13T12:11:51.394514,97.28,82.13,2.78
2025-07-13T12:11:51.540741,93.06,83.48,5.46
2025-07-13T12:11:51.680688,94.31,83.13,6.21
2025-07-13T12:11:51.820440,97.01,82.49,2.76
2025-07-13T12:11:51.965174,94.11,84.93,4.00
2025-07-13T12:11:52.108584,96.47,83.58,0.30
2025-07-13T12:11:52.256081,94.87,83.70,4.35
2025-07-13T12:11:52.392563,96.02,83.16,3.31
2025-07-13T12:11:52.550576,94.26,82.99,6.14
2025-07-13T12:11:52.691462,96.83,82.96,0.94
2025-07-13T12:11:52.829499,95.19,82.56,4.57
2025-07-13T12:11:52.974011,95.67,82.10,7.91
2025-07-13T12:11:53.113340,94.69,83.44,5.45
2025-07-13T12:11:53.247862,96.63,82.76,2.47
2025-07-13T12:11:53.382384,96.45,84.14,3.57
2025-07-13T12:11:53.519756,96.62,82.90,9.70
2025-07-13T12:11:53.655274,96.51,82.04,5.57
2025-07-13T12:11:53.793454,96.88,82.45,4.67
2025-07-13T12:11:53.934649,96.81,81.01,8.40
2025-07-13T12:11:54.064164,96.61,82.20,6.38
2025-07-13T12:11:54.195816,96.84,81.78,4.37
2025-07-13T12:11:54.331871,96.57,81.02,7.16
2025-07-13T12:11:54.465489,95.87,83.52,3.15
2025-07-13T12:11:54.592119,95.91,81.60,4.13
2025-07-13T12:11:54.729279,95.63,81.99,5.18
2025-07-13T12:11:54.856348,95.94,80.32,7.13
2025-07-13T12:11:54.985190,95.82,79.91,11.86
2025-07-13T12:11:56.529220,120.88,39.01,-104.26
2025-07-13T12:11:56.660109,100.61,70.00,26.63
2025-07-13T12:11:56.785629,94.80,82.20,5.77
2025-07-13T12:11:56.910910,95.07,80.82,1.72
2025-07-13T12:11:57.042379,93.22,87.73,12.03
2025-07-13T12:11:57.168425,91.89,76.31,22.61
2025-07-13T12:11:57.295563,94.39,81.93,5.84
2025-07-13T12:11:57.424710,94.97,79.99,3.13
2025-07-13T12:11:57.568752,97.23,79.26,4.98
2025-07-13T12:11:57.692780,97.05,79.71,8.54
2025-07-13T12:11:57.824623,95.32,79.34,9.03
2025-07-13T12:11:57.969533,96.07,79.46,7.94
2025-07-13T12:11:58.095109,97.53,85.33,-5.13
2025-07-13T12:11:58.223469,96.33,92.00,-16.10
2025-07-13T12:11:58.373455,96.72,93.80,-22.68
2025-07-13T12:11:58.502098,97.85,96.75,-29.27
2025-07-13T12:11:58.641886,99.82,93.17,-27.83
2025-07-13T12:11:58.898735,106.02,70.16,-27.72
2025-07-13T12:11:59.045264,50.42,39.80,-149.12
2025-07-13T12:11:59.439233,141.55,4.73,-26.55
2025-07-13T12:11:59.568113,473.19,-3.20,174.65
2025-07-13T12:12:00.250749,96.25,22.39,152.76
2025-07-13T12:12:00.398508,37.53,44.47,37.73
2025-07-13T12:12:02.533415,86.71,85.70,-14.40
2025-07-13T12:12:02.661915,86.34,89.88,-12.36
2025-07-13T12:12:02.802458,86.04,87.82,-7.72
2025-07-13T12:12:02.928528,86.34,86.69,-6.30
2025-07-13T12:12:03.074772,87.28,85.46,-7.18
2025-07-13T12:12:03.201686,86.34,86.21,-5.97
2025-07-13T12:12:03.332448,87.04,85.56,-5.15
2025-07-13T12:12:03.485161,86.86,84.32,-2.60
2025-07-13T12:12:03.638073,87.06,84.04,-2.38
2025-07-13T12:12:03.789693,88.12,82.82,0.00
2025-07-13T12:12:03.947758,87.69,83.30,-1.62
2025-07-13T12:12:04.109299,87.94,82.71,3.06
2025-07-13T12:12:04.269378,87.91,83.17,1.50
2025-07-13T12:12:04.426600,89.49,83.54,0.17
2025-07-13T12:12:04.582424,90.87,83.48,-0.57
2025-07-13T12:12:04.743514,95.12,83.19,-0.29
2025-07-13T12:12:04.900287,97.52,82.86,-0.28
2025-07-13T12:12:05.058881,101.13,82.18,0.57
2025-07-13T12:12:05.219770,104.62,82.17,0.81
2025-07-13T12:12:05.374195,108.60,81.04,2.61
2025-07-13T12:12:05.532342,114.96,80.87,1.95
2025-07-13T12:12:05.693410,116.20,81.63,1.17
2025-07-13T12:12:05.857146,118.37,81.23,0.50
2025-07-13T12:12:06.021279,121.30,80.75,1.81
2025-07-13T12:12:06.181100,122.93,81.53,0.82
2025-07-13T12:12:06.339622,124.30,81.29,0.37
2025-07-13T12:12:06.575872,128.65,80.79,0.16
2025-07-13T12:12:06.727243,129.76,80.59,1.34
2025-07-13T12:12:06.879839,130.38,80.56,-0.09
2025-07-13T12:12:07.030561,129.91,80.43,-0.88
2025-07-13T12:12:07.187687,129.38,80.22,-0.04
2025-07-13T12:12:07.346734,128.91,79.94,0.05
2025-07-13T12:12:07.501606,127.45,81.02,0.67
2025-07-13T12:12:07.654952,126.07,79.60,0.99
2025-07-13T12:12:07.814680,121.20,77.36,0.74
2025-07-13T12:12:07.966185,117.25,79.23,-0.62
2025-07-13T12:12:08.125839,113.89,79.19,0.39
2025-07-13T12:12:08.286528,113.65,77.13,0.65
2025-07-13T12:12:08.439763,112.50,77.34,2.12
2025-07-13T12:12:08.599281,112.34,75.27,4.29
2025-07-13T12:12:08.753702,109.91,77.14,2.01
2025-07-13T12:12:08.910394,105.60,78.09,-1.57
2025-07-13T12:12:09.071813,104.57,77.70,-0.14
2025-07-13T12:12:09.228244,103.32,78.61,0.88
2025-07-13T12:12:09.382736,102.51,77.48,-0.11
2025-07-13T12:12:09.543080,101.31,77.42,-0.52
2025-07-13T12:12:09.695908,100.25,77.28,-0.73
2025-07-13T12:12:09.852028,99.82,76.51,0.58
2025-07-13T12:12:10.012845,98.35,76.52,-0.35
2025-07-13T12:12:10.172140,96.83,76.60,-1.65
2025-07-13T12:12:10.328361,94.19,77.32,-1.45
2025-07-13T12:12:10.486314,93.56,74.82,1.01
2025-07-13T12:12:10.640431,88.92,74.78,1.54
2025-07-13T12:12:10.792521,84.88,76.01,0.99
2025-07-13T12:12:10.949059,80.53,76.78,0.20
2025-07-13T12:12:11.099793,77.42,76.16,-0.14
2025-07-13T12:12:11.257409,73.51,75.86,0.25
2025-07-13T12:12:11.415529,71.22,74.82,0.99
2025-07-13T12:12:11.575360,65.88,76.35,0.25
2025-07-13T12:12:11.745451,58.77,76.35,-0.69
2025-07-13T12:12:11.916146,57.66,74.20,0.52
2025-07-13T12:12:12.078848,55.21,76.56,5.77
2025-07-13T12:12:12.245982,51.82,78.77,4.49
2025-07-13T12:12:12.406680,46.36,80.22,-0.94
2025-07-13T12:12:12.576748,45.85,76.49,7.66
2025-07-13T12:12:12.741279,45.53,78.18,2.70
2025-07-13T12:12:12.901730,44.15,81.00,-1.40
2025-07-13T12:12:13.063216,50.78,77.64,3.79
2025-07-13T12:12:13.223797,52.39,80.22,0.49
2025-07-13T12:12:13.383454,52.32,78.58,2.45
2025-07-13T12:12:13.541989,53.30,78.13,1.02
2025-07-13T12:12:13.697314,53.38,77.70,2.45
2025-07-13T12:12:13.854555,56.42,77.32,1.76
2025-07-13T12:12:14.013600,63.89,75.88,2.71
2025-07-13T12:12:14.167668,64.16,77.80,0.99
2025-07-13T12:12:14.327010,68.51,72.03,6.45
2025-07-13T12:12:14.477241,66.14,76.82,3.82
2025-07-13T12:12:14.628334,67.60,73.08,7.14
2025-07-13T12:12:14.935447,75.01,68.99,22.56
2025-07-13T12:12:18.283235,39.16,70.16,-86.82
2025-07-13T12:12:18.436942,59.43,10.21,30.95
2025-07-13T12:12:18.587258,77.12,81.36,-9.72
2025-07-13T12:12:18.890490,76.45,92.02,-21.39
2025-07-13T12:12:19.047497,76.96,80.23,1.44
2025-07-13T12:12:19.205969,80.60,79.40,-0.65
2025-07-13T12:12:19.369427,84.69,78.52,-4.21
2025-07-13T12:12:19.518946,85.83,78.75,1.74
2025-07-13T12:12:19.672973,88.29,76.52,0.06
2025-07-13T12:12:19.828484,87.89,77.58,1.95
2025-07-13T12:12:19.986964,88.51,77.98,1.06
2025-07-13T12:12:20.138101,89.39,76.55,2.01
2025-07-13T12:12:20.392049,88.52,77.38,0.78
2025-07-13T12:12:20.543572,86.34,79.37,1.50
2025-07-13T12:12:20.687731,88.40,76.55,1.11
2025-07-13T12:12:20.833467,86.70,77.56,2.55
2025-07-13T12:12:20.982565,85.98,77.97,2.68
2025-07-13T12:12:21.133399,86.40,78.02,0.28
2025-07-13T12:12:21.288782,86.53,78.91,-4.47
2025-07-13T12:12:21.443710,87.29,79.70,-7.23
2025-07-13T12:12:21.601179,79.98,82.61,-6.78
2025-07-13T12:12:21.761602,87.71,77.79,-7.52
2025-07-13T12:12:21.919649,82.02,83.55,-10.67
2025-07-13T12:12:22.081448,85.96,80.87,-3.73
2025-07-13T12:12:22.243443,72.94,84.77,-5.38
2025-07-13T12:12:22.401665,76.58,89.36,-12.71
2025-07-13T12:12:22.572819,78.22,84.06,-4.30
2025-07-13T12:12:22.745400,73.07,85.47,-9.53
2025-07-13T12:12:22.906604,78.34,80.67,-8.64
2025-07-13T12:12:23.066128,75.89,84.20,-7.51
2025-07-13T12:12:23.223186,66.26,97.53,-21.25
2025-07-13T12:12:23.384318,76.77,88.06,-14.90
2025-07-13T12:12:23.544199,78.49,83.83,-5.56
2025-07-13T12:12:23.697444,80.89,82.99,-6.84
2025-07-13T12:12:23.851864,88.13,77.34,-3.84
2025-07-13T12:12:24.003726,89.36,77.00,-0.74
2025-07-13T12:12:24.155356,89.95,77.07,0.27
2025-07-13T12:12:24.308537,91.59,76.66,3.34
2025-07-13T12:12:24.465313,91.43,77.47,4.31
2025-07-13T12:12:24.621318,88.95,81.41,-0.01
2025-07-13T12:12:24.772612,91.34,78.63,-1.83
2025-07-13T12:12:24.924367,90.22,78.05,-1.57
2025-07-13T12:12:25.075597,87.44,82.99,-4.53
2025-07-13T12:12:25.229377,89.71,80.29,-5.32
2025-07-13T12:12:25.384066,89.24,76.85,2.89
2025-07-13T12:12:25.538648,90.02,79.83,-0.75
2025-07-13T12:12:25.696538,88.92,79.77,-1.34
2025-07-13T12:12:25.848311,88.38,80.06,-1.00
2025-07-13T12:12:26.009053,90.07,78.67,-1.04
2025-07-13T12:12:26.161299,89.18,79.46,-1.88
2025-07-13T12:12:26.309631,90.25,79.57,-0.50
2025-07-13T12:12:26.461527,90.81,80.70,-3.75
2025-07-13T12:12:26.618291,93.98,80.42,-2.51
2025-07-13T12:12:26.772592,96.02,77.87,-2.97
2025-07-13T12:12:26.926670,97.14,77.90,-1.60
2025-07-13T12:12:27.085147,97.39,80.37,-2.14
2025-07-13T12:12:27.240675,96.24,83.34,-4.10
2025-07-13T12:12:27.392762,101.74,79.76,-2.01
2025-07-13T12:12:27.549311,104.32,81.52,-0.19
2025-07-13T12:12:27.708725,107.20,84.09,-5.84
2025-07-13T12:12:27.864652,110.11,84.80,-8.71
2025-07-13T12:12:28.016473,113.59,84.34,-7.65
2025-07-13T12:12:28.169670,116.97,81.18,-0.41
2025-07-13T12:12:28.320412,118.55,86.75,-11.11
2025-07-13T12:12:28.475520,125.04,81.04,0.83
2025-07-13T12:12:28.632113,132.13,83.35,-6.51
2025-07-13T12:12:28.794073,137.61,77.43,6.54
2025-07-13T12:12:28.949601,139.46,76.92,7.26
2025-07-13T12:12:29.102914,138.55,83.14,-5.81
2025-07-13T12:12:29.263436,137.09,81.33,0.26
2025-07-13T12:12:29.420851,136.74,80.59,-0.76
2025-07-13T12:12:29.575121,133.16,80.68,-0.80
2025-07-13T12:12:29.733494,135.22,81.20,-1.51
2025-07-13T12:12:29.891241,132.77,82.10,-2.38
2025-07-13T12:12:30.051423,131.36,82.04,-3.91
2025-07-13T12:12:30.203795,137.88,81.26,-2.42
2025-07-13T12:12:30.353320,139.98,76.39,9.00
2025-07-13T12:12:30.504258,132.65,82.84,-4.28
2025-07-13T12:12:30.662180,136.47,80.12,0.07
2025-07-13T12:12:30.816413,137.69,82.88,-5.11
2025-07-13T12:12:30.970137,135.55,80.04,0.45
2025-07-13T12:12:31.128401,130.43,82.81,-3.34
2025-07-13T12:12:31.285203,119.56,89.32,-11.26
2025-07-13T12:12:31.439582,133.37,80.11,1.17
2025-07-13T12:12:31.596959,129.43,88.98,-13.76
2025-07-13T12:12:31.753852,131.32,82.39,1.31
2025-07-13T12:12:31.912019,131.08,80.97,3.50
2025-07-13T12:12:32.068547,125.65,86.52,-7.59
2025-07-13T12:12:32.225209,129.11,84.17,-5.79
2025-07-13T12:12:32.384641,129.21,81.52,-8.80
2025-07-13T12:12:32.545689,124.93,79.13,1.49
2025-07-13T12:12:33.213765,341.08,71.98,-15.47
2025-07-13T12:12:33.532983,128.12,81.04,-20.11
2025-07-13T12:12:33.705312,127.16,85.61,-3.84
2025-07-13T12:12:33.868353,123.45,91.44,-11.40
2025-07-13T12:12:34.028454,127.76,84.02,2.55
2025-07-13T12:12:34.183314,126.73,82.13,0.72
2025-07-13T12:12:34.949550,130.53,79.89,0.25
2025-07-13T12:12:35.102039,131.83,78.54,3.17
2025-07-13T12:12:35.257878,100.00,115.58,-34.93
2025-07-13T12:12:35.412071,125.90,80.55,1.54
2025-07-13T12:12:35.566883,118.10,89.21,-12.27
2025-07-13T12:12:35.724240,125.19,82.05,-2.91
2025-07-13T12:12:35.879006,119.42,82.79,-4.56
2025-07-13T12:12:36.032096,116.13,83.13,-4.67
2025-07-13T12:12:36.189854,113.59,81.40,-2.15
2025-07-13T12:12:36.338850,112.51,78.78,0.75
2025-07-13T12:12:36.491621,106.88,80.04,-1.05
2025-07-13T12:12:36.645725,105.16,78.73,2.16
2025-07-13T12:12:36.799288,103.40,78.69,1.02
2025-07-13T12:12:36.955917,100.38,84.60,-8.65
2025-07-13T12:12:37.115535,101.98,83.49,-4.26
2025-07-13T12:12:37.268849,103.20,82.79,-1.02
2025-07-13T12:12:37.423469,102.56,84.23,-0.09
2025-07-13T12:12:37.580390,103.05,82.91,1.80
2025-07-13T12:12:37.730647,104.25,83.36,-1.15
2025-07-13T12:12:37.888387,102.12,83.53,-0.33
2025-07-13T12:12:38.043191,103.04,82.81,0.85
2025-07-13T12:12:38.198054,102.33,82.76,-0.85
2025-07-13T12:12:38.356346,102.82,81.02,2.49
2025-07-13T12:12:38.510320,102.64,81.51,2.40
2025-07-13T12:12:38.666486,102.57,80.49,1.55
2025-07-13T12:12:38.818818,102.86,79.43,3.14
2025-07-13T12:12:38.975330,102.03,79.60,2.11
2025-07-13T12:12:39.129321,99.96,79.25,4.41
2025-07-13T12:12:39.279264,99.60,79.12,6.42
2025-07-13T12:12:39.429544,97.68,77.07,8.03
2025-07-13T12:12:39.585484,96.48,74.85,11.67
2025-07-13T12:12:39.739884,93.43,75.40,12.66
2025-07-13T12:12:39.896036,92.01,76.05,12.73
2025-07-13T12:12:40.047128,82.58,79.54,6.58
2025-07-13T12:12:40.199301,80.29,79.39,5.32
2025-07-13T12:12:40.353600,76.51,78.82,8.21
2025-07-13T12:12:40.506070,73.96,78.40,9.31
2025-07-13T12:12:40.659804,70.35,78.89,7.24
2025-07-13T12:12:40.813136,66.08,80.18,5.89
2025-07-13T12:12:40.972143,64.88,79.55,7.63
2025-07-13T12:12:41.126191,65.38,80.56,2.11
2025-07-13T12:12:41.280842,66.13,81.20,0.76
2025-07-13T12:12:41.442983,66.53,82.65,-1.88
2025-07-13T12:12:41.600781,64.50,85.41,-5.00
2025-07-13T12:12:41.763407,71.59,99.72,-7.78
2025-07-13T12:12:41.922698,62.96,84.85,-4.57
2025-07-13T12:12:42.081396,66.59,84.11,-6.00
2025-07-13T12:12:42.237725,67.39,83.03,-4.78
2025-07-13T12:12:42.396766,66.07,83.50,-5.19
2025-07-13T12:12:42.556909,66.57,82.70,-2.84
2025-07-13T12:12:42.715181,66.55,82.33,-1.99
2025-07-13T12:12:42.875357,67.32,81.87,1.23
2025-07-13T12:12:43.034488,67.35,85.09,-4.76
2025-07-13T12:12:43.199238,56.05,90.52,-7.13
2025-07-13T12:12:43.377594,61.97,86.84,-3.03
2025-07-13T12:12:43.551107,69.41,81.83,1.48
2025-07-13T12:12:43.716418,66.29,82.84,5.51
2025-07-13T12:12:43.880062,65.84,82.44,-2.95
2025-07-13T12:12:44.040456,65.34,83.20,4.70
2025-07-13T12:12:44.200366,67.22,83.15,1.14
2025-07-13T12:12:44.358207,65.12,83.65,-0.18
2025-07-13T12:12:44.512591,65.53,82.26,4.01
2025-07-13T12:12:44.668819,58.60,91.07,-12.17
2025-07-13T12:12:44.827206,66.21,81.97,-0.26
2025-07-13T12:12:44.983626,66.12,84.07,-4.73
2025-07-13T12:12:45.143865,57.68,89.44,-8.03
2025-07-13T12:12:45.300861,66.98,80.03,4.43
2025-07-13T12:12:45.459101,67.61,80.57,3.92
2025-07-13T12:12:45.610506,67.90,80.03,3.49
2025-07-13T12:12:45.765041,66.60,81.25,2.38
2025-07-13T12:12:45.925378,67.70,78.90,5.82
2025-07-13T12:12:46.075800,63.68,85.93,-6.93
2025-07-13T12:12:46.228378,70.88,81.51,1.45
2025-07-13T12:12:46.383744,67.26,84.02,-3.05
2025-07-13T12:12:46.538094,65.56,85.84,-4.40
2025-07-13T12:12:46.690519,67.32,83.90,-1.17
2025-07-13T12:12:46.845553,66.34,81.91,2.47
2025-07-13T12:12:47.001345,67.41,86.85,-5.18
2025-07-13T12:12:47.164397,72.73,74.92,12.07
2025-07-13T12:12:47.332070,445.20,-418.46,114.10
2025-07-13T12:12:47.493893,54.21,109.73,-38.45
2025-07-13T12:12:47.660044,-84.11,314.39,-40.99
2025-07-13T12:12:47.819125,65.44,83.34,7.66
2025-07-13T12:12:47.980570,91.47,94.99,38.39
2025-07-13T12:12:48.140696,70.98,79.43,18.96
