timestamp,x_cm,y_cm,rotation_deg
2025-07-23T14:29:55.845868,119.95,131.67,4.15
2025-07-23T14:29:56.044277,120.17,131.64,3.95
2025-07-23T14:29:56.231404,119.78,131.59,4.08
2025-07-23T14:29:56.420770,115.39,130.97,4.93
2025-07-23T14:29:56.608152,113.70,130.56,5.57
2025-07-23T14:29:56.791353,112.45,131.56,4.44
2025-07-23T14:29:56.976005,113.07,130.57,3.83
2025-07-23T14:29:57.152761,112.41,128.74,4.17
2025-07-23T14:29:57.336999,113.31,127.64,4.15
2025-07-23T14:29:57.522171,114.33,126.89,3.50
2025-07-23T14:29:57.708127,115.36,123.48,4.36
2025-07-23T14:29:57.904215,115.69,122.49,3.93
2025-07-23T14:29:58.092288,116.24,120.53,4.86
2025-07-23T14:29:58.268004,118.09,115.17,3.56
2025-07-23T14:29:58.444189,119.30,112.12,4.02
2025-07-23T14:29:58.624884,122.59,110.10,4.21
2025-07-23T14:29:58.805086,124.49,109.22,4.87
2025-07-23T14:29:58.979168,125.63,108.50,4.38
2025-07-23T14:29:59.152534,133.28,109.84,4.41
2025-07-23T14:29:59.325274,136.10,110.03,3.71
2025-07-23T14:29:59.510708,139.31,110.32,3.76
2025-07-23T14:29:59.685928,143.50,111.72,1.69
2025-07-23T14:29:59.861678,151.64,112.38,3.92
2025-07-23T14:30:00.046315,152.92,113.32,3.65
2025-07-23T14:30:00.230562,156.35,113.32,3.03
2025-07-23T14:30:00.430942,157.67,113.43,3.86
2025-07-23T14:30:00.634814,159.00,113.30,4.29
2025-07-23T14:30:00.838434,162.05,114.85,4.06
2025-07-23T14:30:01.041397,162.42,116.14,3.63
