timestamp,x_cm,y_cm,rotation_deg
2025-07-13T12:26:37.383944,2.74,84.04,145.21
2025-07-13T12:26:37.558429,142.39,64.68,149.02
2025-07-13T12:26:38.024753,99.47,30.59,-44.64
2025-07-13T12:26:38.479093,22.56,96.83,-163.53
2025-07-13T12:26:38.824580,26.46,100.61,-32.06
2025-07-13T12:26:39.302027,18.17,113.49,169.10
2025-07-13T12:26:40.187128,473.68,96.25,177.34
2025-07-13T12:26:40.630527,64.30,79.37,178.96
2025-07-13T12:26:41.287371,149.80,60.06,-155.13
2025-07-13T12:26:41.447695,56.66,20.34,131.18
2025-07-13T12:26:41.599252,150.54,120.39,3.58
2025-07-13T12:26:41.753443,158.43,111.70,4.60
2025-07-13T12:26:41.903818,165.81,101.80,4.51
2025-07-13T12:26:42.054107,168.05,98.62,3.66
2025-07-13T12:26:42.201804,168.86,96.85,3.07
2025-07-13T12:26:42.353897,172.88,94.45,1.48
2025-07-13T12:26:42.502767,176.79,92.69,0.34
2025-07-13T12:26:42.652943,179.17,90.42,4.39
2025-07-13T12:26:42.803686,181.81,89.67,5.63
2025-07-13T12:26:42.953865,186.19,89.36,4.74
2025-07-13T12:26:43.105374,190.29,90.72,2.58
2025-07-13T12:26:43.252559,189.61,90.39,7.20
2025-07-13T12:26:43.398993,182.05,90.87,8.32
2025-07-13T12:26:43.549382,172.77,89.50,6.07
2025-07-13T12:26:43.698112,163.69,90.86,4.59
2025-07-13T12:26:43.842283,155.25,91.56,5.54
2025-07-13T12:26:43.983925,148.04,91.44,4.49
2025-07-13T12:26:44.128335,139.39,92.10,3.14
2025-07-13T12:26:44.271606,131.13,91.29,3.50
2025-07-13T12:26:44.419343,122.04,90.64,3.28
2025-07-13T12:26:44.563857,114.69,91.28,2.62
2025-07-13T12:26:44.710745,106.64,93.54,-1.96
2025-07-13T12:26:44.856249,108.03,96.86,-11.41
2025-07-13T12:26:45.002884,117.63,100.92,-27.94
2025-07-13T12:26:45.152119,128.31,102.63,-40.69
2025-07-13T12:26:45.306748,137.53,103.04,-50.00
2025-07-13T12:26:45.453732,145.09,102.56,-56.35
2025-07-13T12:26:45.600582,137.80,96.72,-38.41
2025-07-13T12:26:45.749478,129.39,88.58,-16.84
2025-07-13T12:26:45.895329,125.11,80.44,6.64
2025-07-13T12:26:46.049646,126.13,74.96,18.57
2025-07-13T12:26:46.202694,134.76,58.49,46.78
